,ipo year,number of employees,country,ceo,founded_year,market_cap,name
136,,"164,000",Belgium,Michel Doukeris,2008.0,109.50 Billion USD,ANHEUSER-BUSCH INBEV
137,,"93,700",USA,Thomas M. Rutledge,1993.0,109.45 Billion USD,CHARTER COMMUNICATIONS
138,,"473,800",Russia,Alexey Miller,1989.0,108.15 Billion USD,GAZPROM
139,,"22,850",USA,Douglas L. Peterson,1917.0,107.67 Billion USD,S&P GLOBAL
140,,"166,025",France,Jean-Pascal Tricoire,1836.0,107.12 Billion USD,SCHNEIDER ELECTRIC
141,,"26,037",USA,,1979.0,,INGRAM MICRO
142,,"18,800",USA,,,,VANGUARD GROUP
143,,"10,100",USA,Ryan Lance,1875.0,106.36 Billion USD,CONOCOPHILLIPS COMPANY
144,2014.0,"314,906",China,Liu Qiangdong,1998.0,106.00 Billion USD,JD.COM
145,,"43,000",USA,Sanjay Mehrotra,1978.0,105.80 Billion USD,MICRON TECHNOLOGY
146,,"63,900",USA,Gail Koziara Boudreaux,2004.0,105.58 Billion USD,ANTHEM
147,2020.0,"6,132",USA,Brian Chesky,2008.0,105.51 Billion USD,AIRBNB
148,,"125,888",Netherlands,Guillaume Faury,1970.0,105.09 Billion USD,AIRBUS
149,,"122,000",USA,,,,KOCH INDUSTRIES
150,,"60,000",China,,2012.0,,BYTEDANCE
151,2017.0,"33,800",Singapore,Forrest Li,2009.0,104.35 Billion USD,SEA LIMITED
152,,"95,000",USA,Mike Roman,1902.0,103.70 Billion USD,3M COMPANY
153,,"150,269",Germany,Oliver Bate,1890.0,103.28 Billion USD,ALLIANZ SE
154,,"345,218",India,Salil Parekh,1981.0,102.72 Billion USD,INFOSYS
155,,"58,408",Germany,Belen Garijo,1668.0,102.50 Billion USD,MERCK KGAA O.N.
156,,"303,350",Japan,Jun Sawada,1952.0,101.57 Billion USD,NIPPON TELEGRAPH AND TELEPHONE CORPORATION
157,,"27,558",Japan,Motoyuki Ii,1991.0,101.26 Billion USD,NTT DOCOMO
158,,"38,553",France,Francois-Henri Pinault,1963.0,101.13 Billion USD,KERING
159,,"56,000",USA,Carlos A. Rodriguez,1961.0,100.64 Billion USD,AUTOMATIC DATA PROCESSING (ADP)
160,,"19,400",USA,Glenn D. Fogel,1996.0,99.97 Billion USD,BOOKING HOLDINGS
161,2013.0,"12,100",USA,JUAN RAMÓN ALAIX,1952.0,99.87 Billion USD,ZOETIS
162,,"43,000",USA,Kevin A. Lobo,1941.0,99.43 Billion USD,STRYKER CORPORATION
163,,"114,000",USA,James D. Taiclet,1995.0,99.32 Billion USD,LOCKHEED MARTIN CORPORATION
164,,"144,116",Spain,Pablo Isla,1985.0,98.66 Billion USD,INDITEX (INDUSTRIA DE DISENO TEXTIL)
165,,"183,000",USA,Jim Farley,1903.0,97.67 Billion USD,FORD MOTOR COMPANY
166,,"60,000",UK,Bernard Looney,1909.0,97.62 Billion USD,BP P.L.C.
167,,"25,000",Australia,Paul Perreault,1916.0,97.07 Billion USD,CSL
168,,"13,716",Saudi Arabia,Waleed A. Al-Mogbel,1957.0,94.93 Billion USD,AL RAJHI BANKING AND INVESTMENT CORPORATION
169,,"400,000",Germany,,,,ROBERT BOSCH
170,,"59,426",USA,William S. Demchak,1845.0,94.56 Billion USD,THE PNC FINANCIAL SERVICES GROUP
171,,"32,721",Saudi Arabia,Yousef Al-Benyan,1976.0,94.40 Billion USD,SAUDI BASIC INDUSTRIES CORPORATION (SABIC)
172,1984.0,"14,100",USA,Timothy M. Archer,1980.0,94.24 Billion USD,LAM RESEARCH CORPORATION
173,,"79,000",USA,Dirk Van de Put,2012.0,94.23 Billion USD,MONDELEZ INTERNATIONAL
174,,"224,300",China,,1995.0,92.26 Billion USD,BYD COMPANY
175,,"226,291",Germany,Timotheus Hottges,1995.0,92.03 Billion USD,DEUTSCHE TELEKOM AG
176,2020.0,"2,495",USA,Frank Slootman,2012.0,91.79 Billion USD,SNOWFLAKE
177,,"6,000",USA,Billy Gifford,1985.0,91.43 Billion USD,ALTRIA GROUP
178,,"90,640",Germany,Markus Duesmann,1909.0,82.15 Billion USD,AUDI AG
179,,"300,000",UK,Anders Dons,,,DELOITTE
180,,"190,000",France,Jean-Laurent Bonnafe,1848.0,90.46 Billion USD,BNP PARIBAS
181,,"68,796",USA,Andrew Cecere,1968.0,90.45 Billion USD,U.S. BANCORP
182,2010.0,"157,000",USA,Mary Barra,1908.0,90.41 Billion USD,GENERAL MOTORS COMPANY
183,,"155,000",USA,,,,CARGILL
184,,"49,370",Japan,Hisayuki Idekoba,1960.0,90.24 Billion USD,RECRUIT HOLDINGS
185,,"152,000",Canada,Bruce Flatt,1899.0,89.97 Billion USD,BROOKFIELD ASSET MANAGEMENT
186,,"21,245",Norway,Anders Opedal,1972.0,89.92 Billion USD,EQUINOR ASA
187,,"55,000",UK,Jack Bowles,1902.0,89.47 Billion USD,BRITISH AMERICAN TOBACCO
188,,"288,481",Germany,Ola Kallenius,1998.0,89.41 Billion USD,MERCEDEC BENZ GROUP AG
189,1992.0,"14,400",USA,Daniel O'Day,1987.0,89.39 Billion USD,GILEAD SCIENCES
190,,"151,017",France,Francesco Milleri,2018.0,89.05 Billion USD,ESSILOR LUXOTTICA
191,,"320,000",USA,Ernie Herrman,1987.0,88.73 Billion USD,THE TJX COMPANIES
192,,"24,700",USA,Vincent Roche,1965.0,88.70 Billion USD,ANALOG DEVICES
193,,"89,488",Canada,Brian J. Porter,1832.0,87.96 Billion USD,BANK OF NOVA SCOTIA
194,,"14,479",Japan,Toshiki Kawai,1963.0,87.40 Billion USD,TOKYO ELECTRON LIMITED
195,,"22,604",Canada,TRACY ROBINSON,1918.0,87.20 Billion USD,CANADIAN NATIONAL RAILWAY COMPANY
196,,"52,641",USA,William H. “Bill” Rogers Jr,1872.0,86.77 Billion USD,TRUIST FINANCIAL CORPORATION
197,2018.0,"1,800",USA,Stephane Bancel,2010.0,86.71 Billion USD,MODERNA
198,,"31,000",Switzerland,Evan G. Greenberg,1985.0,86.66 Billion USD,CHUBB
199,,"271,025",USA,Jamie Dimon,2000.0,494.00 Billion USD,J P MORGAN CHASE & CO
200,,"149,239",China,Paul Fang,1968.0,85.14 Billion USD,MIDEA GROUP
