,ipo year,number of employees,country,ceo,founded_year,market_cap,name
561,,"76,000",USA,Brian S. Tyler,1833.0,38.13 Billion USD,MCKESSON CORPORATION
562,,"33,300",China,,2007.0,38.11 Billion USD,WILL SEMICONDUCTOR
563,,"24,500",USA,Blake D. Moret,1903.0,38.04 Billion USD,ROCKWELL AUTOMATION
564,,"33,916",Belgium,Johan Thijs,1935.0,38.02 Billion USD,KBC GROUP NV
565,2016.0,"1,967",USA,Jeff Green,2009.0,37.94 Billion USD,THE TRADE DESK
566,,37,China,,,37.94 Billion USD,"BEIJING-SHANGHAI HIGH-SPEED RAILWAY CO.,LTD."
567,,"26,969",India,Sanjiv Bajaj,2007.0,37.86 Billion USD,BAJAJ FINSERV
568,1999.0,"1,596",USA,Jeffrey Stoops,1989.0,37.85 Billion USD,SBA COMMUNICATIONS CORPORATION
569,,"204,815",China,Chen Hong,1995.0,37.82 Billion USD,SAIC MOTOR CORPORATION
570,,"14,915",Hong Kong,Gao Yingxin,2001.0,37.82 Billion USD,BOC HONG KONG
571,,"59,900",UK,Alison Rose,1968.0,37.79 Billion USD,NATWEST GROUP
572,,,China,,2011.0,37.73 Billion USD,KUAISHOU TECHNOLOCY
573,,"101,322",Sweden,Borje Ekholm,1876.0,37.53 Billion USD,ERICSSON
574,,"41,000",China,,1994.0,37.36 Billion USD,ANTA SPORTS PRODUCTS
575,,,China,,1999.0,37.28 Billion USD,ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL. LTD
576,,"11,000",USA,Andrew Wilson,1982.0,37.27 Billion USD,ELECTRONIC ARTS
577,,"11,321",USA,Bob Frenzel,1999.0,37.22 Billion USD,XCEL ENERGY
578,,"88,846",China,Dong Mingzhu,1989.0,37.20 Billion USD,GREE ELECTRIC APPLIANCES
579,,"23,127",Netherlands,Dimitri de Vreeze,1902.0,37.19 Billion USD,DSM
580,,"39,000",USA,Ronald P. O'Hanley,1792.0,37.17 Billion USD,STATE STREET CORPORATION
581,,"24,315",USA,,,,BLOOMBERG LP
582,,"10,000",Hong Kong,Louisa Cheang Wai Wan,1933.0,37.16 Billion USD,HANG SENG BANK
583,1985.0,"93,700",USA,Barbara Rentler,1982.0,37.10 Billion USD,ROSS STORES
584,,"34,523",Germany,,2016.0,27.56 Billion USD,INNOGY SE
585,,"20,477",France,Jean-Bernard Levy,1946.0,37.06 Billion USD,EDF (ELECTRICITE DE FRANCE)
586,,"196,159",USA,Roger C Hochschild,1985.0,36.84 Billion USD,DISCOVER FINANCIAL SERVICES
587,,"803,126",China,,2015.0,36.83 Billion USD,FOXCONN INDUSTRIAL INTERNET
588,,"61,380",Finland,Henrik Ehrnrooth,1910.0,36.77 Billion USD,KONE OYJ
589,,"19,386",UK,Brendan Horgan,1947.0,36.70 Billion USD,ASHTEAD GROUP
590,,"36,860",China,,2000.0,36.68 Billion USD,ZIJIN MINING GROUP COMPANY
591,,"9,200",Norway,Kjerstin Braathen,1822.0,36.68 Billion USD,DNB ASA
592,2018.0,"3,153",USA,Jay Chaudhry,2007.0,36.64 Billion USD,ZSCALER
593,,"6,295",USA,Hafize Gaye Erkan,1985.0,36.59 Billion USD,FIRST REPUBLIC BANK
594,,"245,472",Japan,Masatsugu Nagato,2006.0,36.47 Billion USD,JAPAN POST BANK
595,,"171,000",France,Catherine MacGregor,2008.0,36.44 Billion USD,ENGIE
596,,"28,546",Hong Kong,Jan Craps,1888.0,36.33 Billion USD,BUDWEISER BREWING COMPANY APAC
597,,"2,837",South Korea,Yeo Min-soo,1995.0,36.17 Billion USD,KAKAO
598,,"3,400",USA,Andreas Fibig,1958.0,36.14 Billion USD,INTERNATIONAL FLAVORS & FRAGRANCES
599,2006.0,"13,300",USA,W. Nicholas Howley,1993.0,36.14 Billion USD,TRANSDIGM GROUP
600,,"70,000",USA,,1853.0,36.13 Billion USD,OTIS WORLDWIDE CORPORATION
601,,"54,700",USA,Thomas J. Wilson,1931.0,36.11 Billion USD,ALLSTATE CORPORATION
602,,"36,500",India,Sanjiv Puri,1910.0,36.02 Billion USD,ITC
603,,"20,500",Canada,,1995.0,35.94 Billion USD,CONSTELLATION SOFTWARE
604,,"14,000",USA,Greg C. Garland,2012.0,35.92 Billion USD,PHILLIPS 66
605,,"52,600",Germany,Carsten Knobel,1876.0,35.83 Billion USD,HENKEL AG
606,,"45,268",India,S N Subrahmanyan,1938.0,35.83 Billion USD,LARSEN & TOUBRO
607,,"58,300",Japan,Eddy Pirard,1999.0,35.81 Billion USD,JAPAN TOBACCO
608,,"90,836",Italy,Andrea Orcel,1998.0,35.78 Billion USD,UNICREDIT
609,,"12,000",USA,James Cracchiolo,1894.0,35.73 Billion USD,AMERIPRISE FINANCIAL
610,1994.0,"87,927",Finland,Pekka Lundmark,1865.0,35.65 Billion USD,NOKIA CORPORATION
611,2013.0,"4,506",USA,Peter Gassner,2007.0,35.59 Billion USD,VEEVA SYSTEMS
612,2015.0,"2,540",USA,Shar Dubey,2009.0,35.46 Billion USD,MATCH GROUP
613,1997.0,"17,800",USA,Patrick Kaltenbach,1989.0,35.45 Billion USD,METTLER-TOLEDO INTERNATIONAL
614,,"465,000",USA,Rodney McMullen,1883.0,35.38 Billion USD,KROGER
615,,"21,000",USA,"James C. Collins, Jr.",2018.0,35.29 Billion USD,CORTEVA
616,,"37,125",Sweden,Stefan Widing,1862.0,35.19 Billion USD,SANDVIK AB
617,2020.0,"5,245",USA,John Riccitiello,2004.0,35.18 Billion USD,UNITY SOFTWARE INC.
618,,"27,015",Australia,Andy Penn,1975.0,35.12 Billion USD,TELSTRA CORPORATION
619,,"11,107",South Korea,Jun Young-hyun,1970.0,35.11 Billion USD,SAMSUNG SDI
620,,"105,000",USA,Robert E. Sulentic,1906.0,35.07 Billion USD,CBRE GROUP
621,,"232,000",Netherlands,Frans Muller,1887.0,35.06 Billion USD,AHOLD DELHAIZE
622,,"24,346",Singapore,Wee Ee Cheong,1935.0,35.00 Billion USD,UNITED OVERSEAS BANK
623,,"39,500",Hong Kong,Raymond Kwok,1963.0,34.96 Billion USD,SUN HUNG KAI PROPERTIES
624,,"78,126",Germany,Leonhard Birnbaum,2000.0,34.94 Billion USD,E.ON SE
625,1987.0,"20,507",USA,Daniel L. Florness,1967.0,34.87 Billion USD,FASTENAL COMPANY
626,,"3,090",USA,Timothy J Naughton,1978.0,34.78 Billion USD,AVALONBAY COMMUNITIES
627,,"89,575",Brazil,Octavio de Lazari Junior,1943.0,34.59 Billion USD,BANCO BRADESCO
628,,"7,970",USA,Michael J. Farrell,1989.0,34.57 Billion USD,RESMED
629,,"12,568",Denmark,Kristian Villumsen,1954.0,34.56 Billion USD,COLOPLAST A/S
630,,"30,263",Mexico,,1978.0,34.47 Billion USD,GRUPO MEXICO
631,,"51,426",Hong Kong,,1985.0,34.45 Billion USD,TECHTRONIC INDUSTRIES COMPANY
632,,"2,440",USA,Matthew Prince,2009.0,34.43 Billion USD,CLOUDFLARE
633,2014.0,"14,300",USA,,2014.0,34.41 Billion USD,KEYSIGHT TECHNOLOGIES
634,,"47,486",China,Bin Wu,1997.0,34.36 Billion USD,ANHUI CONCH CEMENT COMPANY
635,,"39,000",USA,J. Patrick Gallagher Jr,1927.0,34.28 Billion USD,ARTHUR J. GALLAGHER
636,,"2,877",Spain,Tobias Martinez Gimeno,2015.0,34.19 Billion USD,CELLNEX TELECOM
637,,"9,610",USA,Michel Vounatsos,1978.0,34.17 Billion USD,BIOGEN
638,,"69,801",Japan,Tatsufumi Sakai,2001.0,34.09 Billion USD,MIZUHO FINANCIAL GROUP
639,,"4,783",USA,Alan S. Armstrong,1908.0,34.03 Billion USD,WILLIAMS COMPANIES
640,,"18,933",Canada,Worthing F Jackman,1997.0,33.93 Billion USD,WASTE CONNECTIONS
641,,"11,788",USA,David V. Auld,1978.0,33.92 Billion USD,D.R. HORTON
642,,"12,684",USA,Ralph Izzo,1903.0,33.88 Billion USD,PUBLIC SERVICE ENTERPRISE GROUP
643,,"34,209",Hong Kong,Jacob Kam,1972.0,33.75 Billion USD,MTR CORPORATION
644,,596,Australia,,1919.0,33.72 Billion USD,SYDNEY AIRPORT
645,,"2,400",USA,Mark J. Parrell,1969.0,33.62 Billion USD,EQUITY RESIDENTIAL
646,,"13,977",Taiwan,Mihn Tsao,1992.0,33.55 Billion USD,FORMOSA PETROCHEMICAL CORPORATION
647,,"59,900",USA,Tom Linebarger,1919.0,33.52 Billion USD,CUMMINS
648,,559,USA,Joel S Marcus,1994.0,33.41 Billion USD,ALEXANDRIA REAL ESTATE EQUITIES
649,,"19,112",USA,Greg D. Carmichael,1858.0,33.31 Billion USD,FIFTH THIRD BANCORP
650,2009.0,"9,367",USA,Scott G. Stephenson,1971.0,33.30 Billion USD,VERISK ANALYTICS
651,,"48,000",Sweden,Nico Delvaux,1994.0,33.27 Billion USD,ASSA ABLOY AB (PUBL)
652,,"81,592",Netherlands,Frans van Houten,1891.0,33.23 Billion USD,PHILIPS
653,,"72,644",Italy,Philippe Donnet,1831.0,33.23 Billion USD,ASSICURAZIONI GENERALI
654,2020.0,"2,733",USA,Alex Karp,2003.0,33.20 Billion USD,PALANTIR TECHNOLOGIES
655,,"9,964",USA,Joseph W. Gorder,1980.0,33.12 Billion USD,VALERO ENERGY CORPORATION
656,,"1,600",USA,David A. Hager,1971.0,33.10 Billion USD,DEVON ENERGY CORPORATION
657,,"38,087",China,Tang Yong,1994.0,33.09 Billion USD,CHINA RESOURCES LAND
658,,"137,000",USA,Donnie D. King,1935.0,33.04 Billion USD,TYSON FOODS
659,,"24,586",China,,1989.0,33.02 Billion USD,SANY HEAVY INDUSTRY CO. LTD
660,,"18,500",USA,David Zapico,1930.0,32.94 Billion USD,AMETEK
661,,"10,875",Thailand,Auttapol Rerkpiboon,1978.0,32.88 Billion USD,PTT PUBLIC COMPANY
662,,"24,589",Canada,Dean A. Connor,1865.0,32.87 Billion USD,SUN LIFE FINANCIAL
663,,"36,000",China,,2003.0,32.81 Billion USD,AIER EYE HOSPITAL GROUP
664,2017.0,"10,400",USA,Ernest Garcia III,2012.0,32.80 Billion USD,CARVANA
665,,"1,000",Australia,Gregory Leith Goodman,1989.0,32.74 Billion USD,GOODMAN GROUP
666,,"28,800",USA,Leon Topalian,1940.0,32.71 Billion USD,NUCOR CORPORATION
667,,"28,445",South Africa,Bob van Dijk,1915.0,32.70 Billion USD,NASPERS
668,,"12,700",USA,Mark Begor,1899.0,32.63 Billion USD,EQUIFAX
669,,"32,218",Taiwan,Chi-Mau Sheih,1996.0,32.56 Billion USD,CHUNGHWA TELECOM
670,,"215,000",Australia,Bradford Banducci,1924.0,32.51 Billion USD,WOOLWORTHS GROUP
671,,"19,200",Netherlands,Bhavesh V. Patel,2007.0,32.48 Billion USD,LYONDELLBASELL INDUSTRIES
672,,"28,500",USA,Preston Feight,1905.0,32.43 Billion USD,PACCAR
673,,"61,200",USA,Wendell Weeks,1851.0,32.40 Billion USD,CORNING
674,1994.0,"8,600",USA,Jay Adair,1982.0,32.36 Billion USD,COPART
675,,"5,814",USA,Laurel Hurd,1971.0,32.36 Billion USD,NASDAQ
676,,"45,174",Taiwan,Ming Chung Daniel,1961.0,32.29 Billion USD,FUBON FINANCIAL HOLDING
677,,"21,869",Canada,Mark Bristow,1983.0,32.21 Billion USD,BARRICK GOLD CORPORATION
678,,"2,571",USA,Milan Galik,1978.0,32.19 Billion USD,INTERACTIVE BROKERS GROUP
679,,"67,409",Switzerland,Jan Jenisch,2015.0,32.10 Billion USD,HOLCIM LTD
680,,450,USA,,2010.0,,INSTAGRAM
681,,"153,000",Sweden,Helena Helmersson,1947.0,32.08 Billion USD,H & M HENNES & MAURITZ AB
682,,"129,071",Japan,Hirotaka Hara,1935.0,32.03 Billion USD,FUJITSU
683,,"15,945",India,Kenichi Ayukawa,1982.0,31.99 Billion USD,MARUTI SUZUKI INDIA
684,,"19,000",Spain,Luis Maroto,1987.0,31.94 Billion USD,AMADEUS IT GROUP
685,,"8,211",China,,2001.0,31.94 Billion USD,NARI TECHNOLOGY
686,,"90,800",Canada,Darren Entwistle,1990.0,31.93 Billion USD,TELUS CORPORATION
687,2021.0,"15,000",USA,Thomas Caulfield,2009.0,31.92 Billion USD,GLOBALFOUNDRIES INC.
688,,"4,700",USA,Lawson Whiting,1870.0,31.80 Billion USD,BROWN-FORMAN CORPORATION
689,,"59,258",China,Mingqiang BI,1987.0,31.76 Billion USD,CHINA CITIC BANK CORPORATION
690,2012.0,"5,836",USA,,2012.0,31.74 Billion USD,MPLX LP
691,,"167,743",Luxembourg,Lakshmi Mittal,2006.0,31.73 Billion USD,ARCELORMITTAL
692,2013.0,"7,500",USA,Parag Agarwal,2006.0,31.72 Billion USD,TWITTER
693,1995.0,"199,327",USA,Michael A. Witynski,1986.0,31.71 Billion USD,DOLLAR TREE
694,,,China,,2006.0,31.59 Billion USD,YUNNAN ENERGY NEW MATERIAL
695,1996.0,"5,100",USA,Ajei Gopal,1970.0,31.59 Billion USD,ANSYS
696,2012.0,"58,824",USA,Arkadiy Dobkin,1993.0,31.58 Billion USD,EPAM SYSTEMS
697,2008.0,"6,400",USA,Susan Hardwick,1886.0,31.50 Billion USD,AMERICAN WATER WORKS COMPANY
698,,"7,340",Switzerland,Guillaume Daniellot,1954.0,31.43 Billion USD,STRAUMANN HOLDING AG
699,,916,Germany,Hans Dieter Potsch,2007.0,31.39 Billion USD,PORSCHE AUTOMOBIL HOLDING SE
700,,"69,000",South Africa,Natascha Viljoen,1995.0,31.37 Billion USD,ANGLO AMERICAN PLATINUM
701,,,China,,2001.0,31.35 Billion USD,EVE ENERGY CO. LTD
702,,"152,050",France,,1864.0,31.34 Billion USD,SOCIETE GENERALE
703,,"24,374",China,,1984.0,31.27 Billion USD,SUNNY OPTICAL TECHNOLOGY (GROUP) COMPANY
704,,"245,472",Japan,Hiroya Masuda,2006.0,31.25 Billion USD,JAPAN POST HOLDINGS
705,,"10,753",USA,Jonathan M. Jaffe,1954.0,31.19 Billion USD,LENNAR CORPORATION
706,,"26,316",China,,1993.0,31.19 Billion USD,LONGFOR GROUP HOLDINGS
707,,"6,200",Hong Kong,Zhang Zhichao,1979.0,31.15 Billion USD,CHINA OVERSEAS LAND AND INVESTMENT
708,,"10,540",Spain,Francisco Miguel Reynes Massanet,1843.0,31.14 Billion USD,NATURGY ENERGY GROUP
709,,"117,500",France,Florent Menegaux,1889.0,31.13 Billion USD,MICHELIN
710,,"36,726",France,Benoit Coquart,1860.0,31.08 Billion USD,LEGRAND SA
711,,"13,500",Switzerland,Dieter Weisskopf,1845.0,31.02 Billion USD,CHOCOLADEFABRIKEN LINDT & SPRUNGLI AG
712,,"11,678",USA,Vicki Hollub,1920.0,31.02 Billion USD,OCCIDENTAL PETROLEUM CORPORATION
713,,"138,036",Japan,Shuichi Ishibashi,1931.0,30.97 Billion USD,BRIDGESTONE CORPORATION
714,,"135,304",China,Stanley Ching,1979.0,30.95 Billion USD,CITIC
715,,"71,300",USA,James M. Loree,1843.0,30.86 Billion USD,STANLEY BLACK & DECKER
716,,"9,227",USA,Joseph R. Nolan Jr.,1966.0,30.83 Billion USD,EVERSOURCE ENERGY
717,,"4,181",China,,2015.0,30.81 Billion USD,LI AUTO INC
718,,"65,017",China,,1993.0,30.70 Billion USD,BOE TECHNOLOGY GROUP COMPANY
719,,"6,938",USA,Scott J. Lauber,1987.0,30.66 Billion USD,WEC ENERGY GROUP
720,,"7,235",India,C K Venkataraman,1984.0,30.62 Billion USD,TITAN COMPANY
721,2017.0,"5,030",USA,Todd McKinnon,2009.0,30.59 Billion USD,OKTA
722,,"15,500",Sweden,Johan Torgeby,1972.0,30.55 Billion USD,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL.)
723,,"7,238",Germany,Theodor Weimer,1992.0,30.35 Billion USD,DEUTSCHE BORSE
724,,"14,071",USA,John McAvoy,1823.0,30.31 Billion USD,CONSOLIDATED EDISON
725,,"56,811",China,,1992.0,30.29 Billion USD,POLY DEVELOPMENTS AND HOLDINGS GROUP
726,,"9,372",USA,Devin W. Stockfish,1900.0,30.22 Billion USD,WEYERHAEUSER COMPANY
727,,"73,275",Japan,Shigetaka Komoris,1934.0,30.15 Billion USD,FUJIFILM HOLDINGS CORPORATION
728,,"367,321",UK,Ken Murphy,1919.0,30.12 Billion USD,TESCO
729,,"1,594",USA,Adam Foroughi,2012.0,30.11 Billion USD,APPLOVIN CORP
730,,,China,,2000.0,29.96 Billion USD,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION
731,,"78,300",India,Amitabh Chaudhry,1993.0,29.96 Billion USD,AXIS BANK
732,,"7,127",Japan,Aki Tomaru,2000.0,29.93 Billion USD,M3 Inc
733,,,China,,1997.0,29.86 Billion USD,SUNGROW POWER SUPPLY
734,,"1,340",India,Vneet S Jaain,2015.0,29.83 Billion USD,ADANI GREEN ENERGY
735,,"18,700",Sweden,Gerteric Lindquist,1949.0,29.79 Billion USD,NIBE INDUSTRIER AB (PUBL)
736,,"15,883",Japan,Yoshihiko Hatanaka,2005.0,29.74 Billion USD,ASTELLAS PHARMA
737,,"23,635",China,,1995.0,29.70 Billion USD,TONGWEI
738,,,Kazakhstan,Mikhail Lomtadze,1991.0,29.70 Billion USD,KASPI BANK JOINT STOCK COMPANY
739,,"13,189",Switzerland,Christian Mumenthaler,1863.0,29.68 Billion USD,SWISS RE
740,,"57,848",Taiwan,,2001.0,29.56 Billion USD,CATHAY FINANCIAL HOLDING
741,,"84,512",Germany,Christian Sewing,1870.0,29.52 Billion USD,DEUTSCHE BANK
742,,"13,962",China,,1995.0,29.42 Billion USD,RONGSHENG PETROCHEMICAL
743,,"12,558",USA,Thomas E. Long,1995.0,29.40 Billion USD,ENERGY TRANSFER LP
744,,"198,951",China,Jianjun Zhang,1949.0,29.37 Billion USD,PICC GROUP (PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA)
745,,"24,300",USA,John A Hayes,1880.0,29.32 Billion USD,BALL CORPORATION
746,,"26,438",Japan,,1921.0,29.18 Billion USD,TERUMO CORPORATION
747,,"22,000",India,Ashish Dwivedi,1983.0,29.17 Billion USD,ULTRATECH CEMENT
748,,"52,488",South Korea,Song Ho-Sung,1944.0,29.02 Billion USD,KIA MOTORS CORPORATION
749,,"13,840",Sweden,Helena Hedblom,2018.0,29.02 Billion USD,EPIROC AB (PUBL)
750,,"2,096",Hong Kong,,1862.0,28.99 Billion USD,HONG KONG AND CHINA GAS COMPANY
751,2004.0,"44,700",USA,Robert Glen Goldstein,1988.0,28.96 Billion USD,LAS VEGAS SANDS CORP
752,,"9,000",Australia,Scott Charlton,1996.0,28.95 Billion USD,TRANSURBAN GROUP
753,,"10,065",USA,Eric M. Green,1923.0,28.93 Billion USD,WEST PHARMACEUTICAL SERVICES
754,,"19,062",Switzerland,Urs Schaeppi,1998.0,28.91 Billion USD,SWISSCOM AG
755,,"46,600",UK,Carl Hess,2016.0,28.85 Billion USD,WILLIS TOWERS WATSON PUBLIC COMPANY
756,,"11,908",Switzerland,Christian Buhl,1874.0,28.74 Billion USD,GEBERIT AG
757,,"24,272",Indonesia,Ririek Adriansyah,1856.0,28.72 Billion USD,PT TELEKOMUNIKASI INDONESIA TBK
758,2017.0,"2,539",USA,Dev Ittycheria,2007.0,28.68 Billion USD,MONGODB
759,,"2,972",China,,1995.0,28.64 Billion USD,CHONGQING ZHIFEI BIOLOGICAL PRODUCTS
760,,"19,169",Netherlands,Nancy McKinstry,1987.0,28.49 Billion USD,WOLTERS KLUWER
761,,"320,618",Mexico,Eduardo Padilla Silva,1936.0,28.48 Billion USD,FOMENTO ECONOMICO MEXICANOB. DE C.V. (FEMSA)
762,,"40,000",USA,Steve Rendle,1899.0,28.47 Billion USD,V.F. CORPORATION
763,1998.0,"4,742",USA,Andrew C. Florance,1987.0,28.39 Billion USD,COSTAR GROUP
764,1991.0,"9,800",USA,Anders Gustafsson,1969.0,28.37 Billion USD,ZEBRA TECHNOLOGIES CORPORATION
765,,"24,500",Canada,Paul A. Mahon,1891.0,28.25 Billion USD,GREAT-WEST LIFECO
766,,"142,150",France,Stephane Richard,1988.0,28.20 Billion USD,ORANGE S.A
767,2020.0,"26,000",USA,Jay Farner,1985.0,28.14 Billion USD,ROCKET COMPANIES
768,,"31,653",Japan,Yasuo Takeuchi,1919.0,28.09 Billion USD,OLYMPUS CORPORATION
769,,"29,378",Denmark,Henrik Andersen,1945.0,28.08 Billion USD,VESTAS WIND SYSTEMS A/S
770,,"66,674",Switzerland,Thomas Oetterli,1874.0,28.05 Billion USD,SCHINDLER HOLDING AG
771,,"5,054",Sweden,Martin Carlesund,2006.0,27.96 Billion USD,EVOLUTION GAMING GROUP AB (PUBL)
772,,"22,892",Singapore,Kuan Moon Yuen,1879.0,27.94 Billion USD,SINGAPORE TELECOMMUNICATIONS (SINGTEL)
773,,"93,300",USA,,1977.0,,MERCADONA
774,2004.0,"4,013",USA,Joseph Margolis,1977.0,27.91 Billion USD,EXTRA SPACE STORAGE
775,,"9,813",Finland,Torbjorn Magnusson,1909.0,27.89 Billion USD,SAMPO OYJ
776,,"139,677",Japan,Yo Honma,1978.0,27.86 Billion USD,NTT DATA CORPORATION
777,,"2,847",USA,Pierce H. Norton II,1906.0,27.85 Billion USD,ONEOK
778,,"33,300",USA,Hassane El-Khoury,1999.0,27.82 Billion USD,ON SEMICONDUCTOR CORPORATION
779,,"146,518",Japan,Takeshi Sugiyama,1921.0,27.73 Billion USD,MITSUBISHI ELECTRIC CORPORATION
780,,"42,000",USA,Steven H. Collis,1985.0,27.71 Billion USD,AMERISOURCEBERGEN CORPORATION
781,,"2,545",USA,Stewart Butterfield,2009.0,27.70 Billion USD,SLACK TECHNOLOGIES
782,,"2,413",Canada,Alex Pourbaix,2009.0,27.66 Billion USD,CENOVUS ENERGY
783,,"87,346",China,,2001.0,27.62 Billion USD,GOERTEK
784,,"6,000",USA,J Kent Masters,1994.0,27.61 Billion USD,ALBEMARLE CORPORATION
785,,"11,912",USA,J. Thomas Hill,1909.0,27.59 Billion USD,VULCAN MATERIALS COMPANY
786,,"1,550",USA,Jack A Fusco,1996.0,27.52 Billion USD,CHENIERE ENERGY
787,,"15,000",Colombia,Felipe Bayon,1951.0,27.47 Billion USD,ECOPETROL
788,,"26,000",USA,Patricia K. Poppe,1905.0,27.47 Billion USD,PACIFIC GAS & ELECTRIC CORPORATION
789,,"11,216",China,,2003.0,27.41 Billion USD,SHENZHEN INOVANCE TECHNOLOGY
790,,"5,500",China,,2000.0,27.34 Billion USD,GANFENG LITHIUM
791,,"75,000",USA,Adam H Schechter,1978.0,27.30 Billion USD,LABORATORY CORPORATION OF AMERICA HOLDINGS
792,,"26,000",Ireland,Edmond Scanlon,1972.0,27.28 Billion USD,KERRY GROUP
793,,"209,000",France,,1896.0,24.16 Billion USD,PEUGEOT
794,,"19,285",Taiwan,Stan Hung,1980.0,27.28 Billion USD,UNITED MICROELECTRONICS CORPORATION
795,,"14,800",USA,Peter M Kern,1996.0,27.26 Billion USD,EXPEDIA GROUP
796,,"85,700",China,,2005.0,27.21 Billion USD,SHENZHOU INTERNATIONAL GROUP HOLDINGS
797,,,China,,1997.0,27.20 Billion USD,QINGHAI SALT LAKE INDUSTRY
798,,"7,082",USA,Patrick J Ottensmeyer,1887.0,27.20 Billion USD,KANSAS CITY SOUTHERN
799,,"43,293",Japan,Masatoshi Kimata,1890.0,27.15 Billion USD,KUBOTA CORPORATION
800,,"200,000",Canada,Galen G. Weston,1919.0,27.07 Billion USD,LOBLAW COMPANIES
801,,"46,316",China,Zhang Jinliang,1992.0,27.05 Billion USD,CHINA EVERBRIGHT BANK COMPANY
802,,"20,000",USA,Jim Snee,1891.0,27.05 Billion USD,HORMEL FOODS CORPORATION
803,,,China,,2014.0,,WEBANK
804,,"311,269",Germany,Stephan Sturm,1912.0,27.03 Billion USD,FRESENIUS SE
805,1986.0,"26,400",USA,David T. Feinberg,1979.0,26.98 Billion USD,CERNER CORPORATION
806,,"14,802",Ireland,Peter Jackson,2016.0,26.93 Billion USD,FLUTTER ENTERTAINMENT
807,,"37,769",Saudi Arabia,Fahad bin Hussein Al-Sudairi,2000.0,26.93 Billion USD,SAUDI ELECTRICITY COMPANY
808,2013.0,"9,900",USA,Christine A Leahy,1984.0,26.93 Billion USD,CDW CORPORATION
809,,"25,000",USA,Michael G. O'Grady,1889.0,26.93 Billion USD,NORTHERN TRUST CORPORATION
810,,,Taiwan,,1968.0,26.91 Billion USD,EVERGREEN MARINE CORPORATION (TAIWAN)
811,2018.0,"5,630",USA,Dan Springer,2003.0,26.90 Billion USD,DOCUSIGN
812,,"84,000",Netherlands,Dolf van den Brink,1864.0,26.89 Billion USD,HEINEKEN HOLDING
813,,"9,372",China,,1995.0,26.88 Billion USD,CHINA INTERNATIONAL CAPITAL CORPORATION
814,,"55,100",USA,Robert E Jordan,1967.0,26.84 Billion USD,SOUTHWEST AIRLINES
815,,"1,545",USA,John B. Hess,1933.0,26.83 Billion USD,HESS CORPORATION
816,,"1,900",USA,Greg Maffei,2014.0,26.77 Billion USD,LIBERTY BROADBAND CORPORATION
817,,"20,000",USA,Bryan C. Hanson,1927.0,26.77 Billion USD,ZIMMER BIOMET HOLDINGS
818,1994.0,"8,700",USA,C. Howard Nye,1949.0,26.77 Billion USD,MARTIN MARIETTA MATERIALS
819,,"5,800",Canada,Brad Corson,1880.0,26.73 Billion USD,IMPERIAL OIL
820,,"5,700",Qatar,,2003.0,26.69 Billion USD,INDUSTRIES QATAR
821,,"26,920",Canada,Laurent Ferreira,1859.0,26.66 Billion USD,NATIONAL BANK OF CANADA
822,,"36,000",India,Kirti Ganorkar,1983.0,26.64 Billion USD,SUN PHARMACEUTICAL INDUSTRIES
823,,"80,000",Taiwan,Ping Zheng,1971.0,26.61 Billion USD,DELTA ELECTRONICS
824,,"30,000",India,,2007.0,,FLIPKART
825,,"52,323",China,,2000.0,26.59 Billion USD,BAOSHAN IRON & STEEL
826,,"26,506",China,,1999.0,26.58 Billion USD,HENGLI PETROCHEMICAL
827,,"259,385",Japan,Kazuhiro Tsuga,1918.0,26.57 Billion USD,PANASONIC CORPORATION
828,,"83,000",USA,Ed Bastian,1925.0,26.57 Billion USD,DELTA AIR LINES
829,,"19,498",Germany,Markus Krebber,1898.0,26.49 Billion USD,RWE
830,,"30,105",India,Subhash Kumar,1956.0,26.47 Billion USD,ONGC
831,,"2,100",Poland,,1999.0,23.31 Billion USD,ALLEGRO
832,,"33,200",UK,Damian Paul Gammell,2016.0,26.44 Billion USD,COCA-COLA EUROPACIFIC PARTNERS PLC
833,1998.0,902,USA,D. James Bidzos,1995.0,26.40 Billion USD,VERISIGN
834,2014.0,"18,000",USA,Brian D. Doubles,2003.0,26.38 Billion USD,SYNCHRONY FINANCIAL
835,,"23,000",USA,Richard J. Tobin,1955.0,26.34 Billion USD,DOVER CORPORATION
836,,,China,,,,JD DIGITS
837,,,India,Suresh Manglani,2004.0,26.34 Billion USD,ADANI TOTAL GAS LIMITED
838,1997.0,"15,016",Ireland,Michael O'Leary,1984.0,26.29 Billion USD,RYANAIR HOLDINGS
839,,"8,000",Saudi Arabia,Mosaed Al Ohali,1997.0,26.29 Billion USD,SAUDI ARABIAN MINING COMPANY (MA'ADEN)
840,2001.0,"2,675",USA,Clay B Siegall,1997.0,26.28 Billion USD,SEAGEN
841,,"19,933",Finland,Markus Rauramo,1998.0,26.20 Billion USD,FORTUM OYJ
842,,"66,478",Japan,Hisahiro Koketsu,1926.0,26.10 Billion USD,TOYOTA INDUSTRIES CORPORATION
843,,,China,,2009.0,26.09 Billion USD,SMOORE INTERNATIONAL HOLDINGS
844,,"11,980",India,,2015.0,26.06 Billion USD,ADANI TRANSMISSIONS
