,rank,name,in 2021 ranking,in 2020 ranking,country,sector,absolute growth rate %,compound annual growth rate (cagr) %,revenue 2020 (€),revenue 2017 (€),number of employees 2020,number of employees 2017,founding year
693,694,Bacci,No,No,Spain,Fashion,231.00,49.03,"24,048,302","7,265,350",14.0,19,2003
694,695,Emilia Foods,Yes,Yes,Italy,Food & Beverage,230.75,48.99,"26,824,140","8,110,160",25.0,8,2013
695,696,T.E.A.M. - Ti educa a migliorare,No,No,Italy,Health,230.22,48.91,"3,370,490","1,020,690",211.0,82,2001
696,697,Brainhub,Yes,No,Poland,Technology,230.16,48.9,"3,513,741","1,163,241",75.0,30,2016
697,698,Assitech,Yes,No,Italy,Construction,230.03,48.89,"2,675,750","810,750",9.0,10,2016
698,699,Schott Packaging,No,No,UK,Ecommerce,229.61,48.82,"2,272,847","694,501",11.0,4,2016
699,700,Alba,Yes,No,Italy,Energy,229.36,48.78,"3,299,330","1,001,740",30.0,12,2010
700,701,FinTrU,Yes,No,UK,Financial Services,229.03,48.73,"32,392,546","9,915,609",740.0,219,2013
701,702,Global Edilizia,No,No,Italy,Construction,228.55,48.66,"4,028,000","1,226,000",5.0,4,2011
702,703,TPXimpact,No,No,UK,Management Consulting,228.30,48.62,"57,093,437","17,515,305",381.0,2,2016
703,704,LGS SportLab,No,No,Italy,Advertising,228.26,48.62,"4,014,220","1,222,870",9.0,6,2010
704,705,Weiser Brandschutz & Technik,Yes,No,Germany,Construction,227.87,48.56,"5,986,199","1,825,769",45.0,4,2005
705,706,Fairfax and Favor,No,No,UK,Fashion,226.81,48.4,"18,178,322","5,602,279",47.0,13,2013
706,707,FAO Consulting,No,No,France,Technology,226.39,48.34,"7,781,600","2,384,156",85.0,39,2014
707,708,Gruppo Del Barba Consulting,Yes,Yes,Italy,Financial Services,226.35,48.33,"5,855,040","1,794,120",37.0,8,2010
708,709,Exclaimer,Yes,Yes,UK,Technology,226.05,48.28,"26,143,857","8,075,796",109.0,62,2003
709,710,Join Business Management Consulting,Yes,No,Italy,Management Consulting,225.69,48.23,"10,189,790","3,128,700",77.0,25,2013
710,711,Vennes,No,No,Germany,Construction,225.10,48.14,"17,048,000","5,244,000",57.0,27,2003
