,rank,name,in 2021 ranking,in 2020 ranking,country,sector,absolute growth rate %,compound annual growth rate (cagr) %,revenue 2020 (€),revenue 2017 (€),number of employees 2020,number of employees 2017,founding year
0,1,Swappie,No,No,Finland,Technology,"19,152.82",477.43,"97,611,814","507,000",218.0,1,2016
1,2,Kilo Health,No,No,Lithuania,Health,"16,541.73",450.05,"57,318,766","344,428",177.0,10,2013
2,3,OCI,No,No,UK,Financial Services,"13,133.13",409.59,"568,322,073","4,325,512",32.0,4,2012
3,4,OnlyFans,No,No,UK,Technology,"11,928.05",393.63,"316,732,986","2,652,185",800.0,4,2016
4,5,Enpal,No,No,Germany,Energy,"11,441.27",386.88,"56,109,613","486,165",365.0,9,2017
5,6,MR Consulting,No,No,Germany,Waste management & recycling,"8,624.23",343.52,"13,165,586","150,908",9.0,2,2017
6,7,Thriva,No,No,UK,Health,"7,396.77",321.66,"18,732,563","251,668",57.0,12,2015
7,8,Exotec,No,No,France,Industrial Goods,"6,635.11",306.86,"47,597,000","706,700",200.0,15,2015
8,9,Winelivery,No,No,Italy,Ecommerce,"6,480.53",303.73,"7,337,290","111,500",10.0,1,2015
9,10,Instabox,No,No,Sweden,Technology,"6,287.13",299.73,"24,484,879","392,055",117.0,5,2015
10,11,Waterdrop,No,No,Austria,Food & Beverage,"5,957.94",292.74,"41,205,930","680,197",180.0,12,2016
11,12,One Lease,No,No,France,Support Services,"5,790.52",289.09,"9,015,211","153,046",11.0,2,2016
12,13,Datlas*,No,No,Italy,Technology,"5,713.76",287.39,"9,034,926","155,406",251.0,13,2017
13,14,Zego,No,No,UK,Fintech,"5,242.60",276.63,"12,158,046","229,201",224.0,36,2016
14,15,HCL-Logistics,No,No,Germany,Transport,"4,682.15",262.97,"11,387,156","238,118",24.0,5,2017
15,16,Popsa,No,No,UK,Technology,"4,649.68",262.15,"21,455,864","454,975",34.0,4,2016
16,17,Unit8,No,No,Switzerland,Technology,"4,377.53",255.1,"7,234,981","149,397",41.0,2,2017
17,18,Luoto Company,No,No,Finland,Technology,"4,303.97",253.14,"14,338,668","325,585",49.0,6,2016
18,19,Journi Print,No,No,Austria,Ecommerce,"4,165.75",249.41,"6,851,839","160,624",29.0,9,2014
19,20,Portify,No,No,France,Support Services,"4,118.60",248.11,"11,583,215","274,575",228.0,23,2017
20,21,Tibber,No,No,Norway,Energy,"4,104.02",247.71,"30,886,935","782,918",45.0,8,2015
21,22,Rascal Industry,No,No,Poland,Fashion,"4,029.49",245.65,"9,008,822","238,451",18.0,6,2013
22,23,Pegaso Security,No,No,Italy,Support Services,"3,943.64",243.23,"8,375,180","207,120",509.0,20,2017
23,24,Tide,No,No,UK,Fintech,"3,801.56",239.17,"16,136,633","416,562",581.0,72,2016
24,25,Euro Top Brand,No,No,Italy,Retail,"3,726.04",236.96,"13,888,900","363,010",1.0,1,2017
25,26,Bold Security Group,No,No,UK,Support Services,"3,356.60",225.75,"6,238,378","181,772",26.0,6,2011
26,27,Play Magnus Group,No,No,Norway,Games industry,"2,967.63",213.04,"6,461,790","214,673",140.0,10,2013
27,28,Blue Whale Growth Fund,No,No,UK,Financial Services,"2,957.41",212.69,"5,189,391","170,950",7.0,1,2016
28,29,Kazidomi,No,No,Belgium,Ecommerce,"2,950.29",212.45,"8,042,499","263,663",65.0,3,2016
29,30,Sun Finance,Yes,No,Latvia,Fintech,"2,899.26",210.7,"121,306,296","4,044,537",800.0,90,2012
30,31,Credimi,No,No,Italy,Financial Services,"2,859.83",209.33,"11,301,520","381,830",56.0,21,2015
31,32,SIRPLUS,No,No,Germany,Retail,"2,828.22",208.23,"4,540,000","155,043",133.0,8,2017
32,33,AIHR | Academy to Innovate HR,No,No,The Netherlands,Education,"2,752.08",205.53,"3,584,553","125,682",31.0,6,2016
33,34,Logistics Capital Partners (LCP),No,No,Luxembourg,Property,"2,744.13",205.25,"210,563,743","7,403,458",27.0,9,2015
34,35,Südwest Invest,No,No,Germany,Property,"2,660.84",202.24,"5,820,402","210,820",10.0,2,2017
35,36,CORADE (Plurimmo),No,No,France,Property,"2,646.07",201.7,"56,018,731","2,039,961",7.0,7,2000
36,37,Carranco,No,No,Spain,Food & Beverage,"2,589.10",199.6,"4,176,440","155,310",5.0,4,2006
37,38,Telemedi,No,No,Poland,Health,"2,572.52",198.98,"4,452,513","182,100",50.0,10,2014
38,39,Inkitt,No,No,Germany,Technology,"2,480.16",195.49,"5,926,970","229,713",56.0,22,2014
39,40,H.K.Trading,No,No,Italy,Retail,"2,438.64",193.9,"5,721,590","225,380",2.0,1,2016
40,41,Attest,No,No,UK,Technology,"2,424.14",193.34,"4,864,178","194,090",124.0,16,2015
41,42,LGM IMMOBILIER,No,No,France,Property,"2,416.78",193.05,"2,549,778","101,311",11.0,na,2016
42,43,Wolfram Chain*,No,No,The Netherlands,Management Consulting,"2,314.21",189.02,"2,431,371","100,711",29.0,7,2017
43,44,RightNow,No,No,Germany,Technology,"2,256.98",186.72,"8,951,132","379,771",38.0,3,2017
44,45,EO Charging,Yes,No,UK,Technology,"2,182.00",183.64,"17,158,962","757,323",63.0,7,2014
45,46,CheTariffa.it,No,No,Italy,Support Services,"2,164.85",182.93,"2,495,860","110,200",9.0,2,2013
46,47,Simply,No,No,UK,Financial Services,"2,131.19",181.52,"16,483,836","744,092",90.0,26,2017
47,48,Salary Finance,No,No,UK,Fintech,"2,130.67",181.5,"8,593,220","387,995",187.0,24,2015
48,49,DBT,No,No,Sweden,Fintech,"2,090.34",179.79,"3,837,994","179,204",10.0,2,2017
49,50,Tutlo,No,No,Poland,Education,"2,087.98",179.69,"7,778,203","388,565",140.0,15,2016
50,51,Ponera,No,No,France,Ecommerce,"2,082.38",179.45,"25,901,607","1,186,853",27.0,4,2013
51,52,Active Energy Solutions,No,No,Greece,Energy,"1,979.82",175.01,"13,312,033","640,056",2.0,0,2014
52,53,ACTEAM ENR,No,No,France,Energy,"1,966.73",174.43,"2,133,691","103,240",8.0,2,2012
53,54,Everflow,Yes,No,UK,Technology,"1,928.53",172.73,"64,223,085","3,188,715",70.0,8,2015
54,55,Azure Prism,No,No,UK,Retail,"1,909.48",171.87,"4,752,777","238,216",1.0,1,2016
55,56,WR Logistics,No,No,Germany,Transport,"1,892.58",171.11,"11,662,200","585,280",7.0,2,2017
56,57,iProov,No,No,UK,Technology,"1,889.07",170.95,"7,435,887","376,519",61.0,14,2011
57,58,Spin Up,No,No,Italy,Advertising,"1,865.84",169.89,"4,009,330","203,950",5.0,1,2017
58,59,BeGreat,No,No,Germany,Retail,"1,803.65",167.01,"5,141,555","270,090",16.0,4,2012
59,60,Tsunami Nutrition*,No,No,Italy,Ecommerce,"1,782.11",166.0,"6,945,000","369,000",17.0,2,2017
60,61,Matt Sleeps,No,No,The Netherlands,Interiors,"1,729.53",163.5,"9,789,240","535,070",6.0,2,2016
61,62,Tessian,No,No,UK,Technology,"1,702.70",162.21,"15,365,580","858,482",138.0,28,2013
62,63,Solarisbank,No,No,Germany,Financial Services,"1,690.63",161.62,"35,938,000","2,007,000",369.0,98,2016
63,64,M2DG (MyFlexoffice),No,No,France,Support Services,"1,666.64",160.45,"6,630,617","375,323",21.0,2,2016
64,65,Eukon,No,No,Italy,Health,"1,664.65",160.35,"6,393,680","362,320",11.0,2,2004
65,66,Evolution Adv,No,No,Italy,Advertising,"1,659.07",160.07,"14,175,780","805,870",13.0,3,2016
66,67,Making Science,Yes,Yes,Spain,Technology,"1,644.00",159.33,"57,670,541","3,306,795",274.0,47,2001
67,68,Everli,Yes,Yes,Italy,Ecommerce,"1,637.55",159.01,"109,248,030","6,287,460",207.0,45,2014
68,69,AppFollow,No,No,Finland,Technology,"1,624.69",158.37,"2,210,636","128,176",73.0,12,2014
69,70,Synerise,No,No,Poland,Technology,"1,613.70",157.82,"3,999,023","255,062",190.0,40,2013
70,71,ChaiKola,No,No,Poland,Food & Beverage,"1,604.74",157.37,"5,158,786","330,763",8.0,4,2010
71,72,Scolution,No,No,Germany,Technology,"1,598.31",157.04,"1,825,546","107,492",12.0,4,2015
72,73,JL&P,No,No,France,Energy,"1,586.90",156.47,"2,212,606","131,164",15.0,3,2017
73,74,eFarma.com,No,No,Italy,Pharmaceuticals,"1,579.82",156.11,"20,150,800","1,199,580",50.0,8,2017
74,75,Elvie,Yes,Yes,UK,Technology,"1,561.33",155.16,"40,813,930","2,474,341",138.0,22,2013
75,76,Farmarelax,No,No,Italy,Personal & Household Goods,"1,546.97",154.43,"4,459,170","270,750",5.0,1,2010
76,77,Omnisend,Yes,No,UK,Technology,"1,494.85",151.71,"11,761,268","742,746",99.0,20,2008
77,78,World Trade Group,No,No,Italy,Fashion,"1,459.11",149.82,"4,897,950","314,150",5.0,1,2017
78,79,BESTEAM Conseil,No,No,France,Technology,"1,453.83",149.54,"3,871,782","249,176",32.0,2,2016
79,80,Motorway,No,No,UK,Automobiles,"1,420.90",147.76,"4,838,407","320,411",96.0,5,2016
80,81,ISO Public Services,No,No,Germany,Technology,"1,389.24",146.03,"10,019,903","672,821",26.0,0,2014
81,82,Octopus Energy,Yes,No,UK,Energy,"1,368.58",144.89,"2,120,071,949","145,398,192",918.0,106,2015
82,83,CyberIAM*,No,No,UK,Cyber Security,"1,367.04",144.8,"5,639,335","387,161",82.0,8,2017
83,84,Cbweed*,No,No,Italy,Personal & Household Goods,"1,328.57",142.64,"3,500,000","245,000",17.0,2,2017
84,85,Catraport,No,No,Portugal,Automobiles,"1,306.55",141.39,"7,294,549","518,613",46.0,18,2015
85,86,OUIHELP,No,No,France,Support Services,"1,304.85",141.29,"3,686,617","262,421",106.0,13,2016
86,87,Inpay,Yes,No,Denmark,Fintech,"1,298.53",140.93,"23,803,000","1,702,000",67.0,33,2013
87,88,M.G.I. Meccaniche Generali Irpine,No,No,Italy,Industrial Goods,"1,283.67",140.07,"2,610,700","188,680",10.0,4,2017
88,89,Glencar Construction,Yes,No,UK,Construction,"1,269.90",139.27,"107,860,442","7,930,094",80.0,7,2016
89,90,Qmee,Yes,No,UK,Technology,"1,268.04",139.17,"12,571,314","925,527",23.0,9,2010
90,91,MyAppFree,No,No,Italy,Advertising,"1,264.72",138.97,"5,764,870","422,420",10.0,1,2015
91,92,Investa Dienstleistungen,No,No,Germany,Support Services,"1,262.58",138.85,"2,176,136","159,707",55.0,8,2014
92,93,Polarium Energy Solutions,Yes,No,Sweden,Batteries,"1,257.04",138.52,"74,065,413","5,581,858",58.0,19,2014
93,94,Baroni Home,No,No,Italy,Ecommerce,"1,254.32",138.36,"1,531,358","113,072",5.0,4,2016
94,95,Dayshape,No,No,UK,Technology,"1,251.43",138.19,"3,320,479","247,465",45.0,6,2013
95,96,Marketers Company,No,No,Italy,Advertising,"1,249.94",138.11,"1,880,460","139,300",8.0,3,2016
96,97,Easo Magno,No,No,Spain,Beauty,"1,242.47",137.67,"3,061,854","228,076",5.0,2,2017
97,98,Greyfood,No,No,Germany,Retail,"1,241.42",137.6,"9,187,050","684,874",10.0,1,2016
98,99,Misfits Health,No,No,UK,Food & Beverage,"1,234.31",137.18,"2,266,155","171,057",9.0,3,2016
99,100,MeilleursBiens.com,No,No,France,Property,"1,225.70",136.67,"3,864,176","291,481",5.0,1,2010
100,101,Fasanara Capital,No,No,UK,Financial Services,"1,216.25",136.11,"11,527,860","882,099",36.0,5,2011
101,102,NtechLab,No,No,Cyprus,Technology,"1,214.76",136.02,"8,730,000","664,000",122.0,44,2015
102,103,Babylino Sensitive,No,No,Italy,Personal & Household Goods,"1,211.43",135.82,"2,851,840","217,460",5.0,2,2016
103,104,Fastned,Yes,No,The Netherlands,Technology,"1,198.37",135.03,"6,890,000","530,667",54.0,24,2012
104,105,Oxray,No,No,Portugal,Health,"1,179.02",133.86,"5,465,756","427,339",6.0,2,2009
105,106,ZEGA Invest,No,No,Germany,Property,"1,163.47",132.91,"3,785,340","299,598",4.0,3,2017
106,107,Abylon Consulting,No,No,Hungary,Technology,"1,156.25",132.47,"1,721,315","159,128",7.0,2,2016
107,108,Milrab,No,No,Norway,Ecommerce,"1,151.36",132.16,"79,302,201","6,753,191",77.0,20,2005
108,109,Urbantz,No,No,Belgium,Technology,"1,150.62",132.12,"3,031,099","242,368",55.0,7,2015
109,110,Tricas Construction,No,No,UK,Construction,"1,148.16",131.97,"15,880,745","1,281,462",32.0,6,2017
110,111,Florence One,No,No,Italy,Technology,"1,137.06",131.28,"1,629,099","131,691",10.0,6,2017
111,112,Ergotopia,No,No,Germany,Retail,"1,135.70",131.19,"7,664,825","620,283",35.0,8,2014
112,113,Mcule.com Kft.,Yes,No,Hungary,Chemicals & Pharmaceuticals,"1,133.10",131.03,"2,683,264","252,713",17.0,5,2011
113,114,Filo,No,No,Italy,Technology,"1,132.04",130.96,"10,049,610","815,690",18.0,9,2014
114,115,Homepal,No,No,Italy,Property,"1,131.09",130.9,"1,603,990","130,290",11.0,4,2014
115,116,Staffbase,No,No,Germany,Technology,"1,121.82",130.32,"26,894,501","2,201,178",310.0,55,2014
116,117,ILON MATERIEL,No,No,France,Construction,"1,111.76",129.69,"2,512,300","207,327",4.0,2,2016
117,118,Bio-marine,No,No,Ireland,Personal & Household Goods,"1,110.84",129.63,"1,612,837","133,200",25.0,7,2014
118,119,ISODECO,No,No,France,Construction,"1,103.81",129.18,"2,906,133","241,411",18.0,2,2016
119,120,Treedom,No,No,Italy,Support Services,"1,097.84",128.81,"6,709,720","560,150",42.0,18,2010
120,121,Fenstermaxx24,No,No,Germany,Retail,"1,087.64",128.15,"8,466,121","712,855",20.0,3,2016
121,122,Pohl & Söhne Gerüstbau,No,No,Germany,Construction,"1,075.04",127.34,"2,124,763","180,824",31.0,7,2017
122,123,YSO CORP,No,No,France,Media,"1,073.57",127.25,"6,689,503","570,012",13.0,3,2013
123,124,Gyada Cosmetics,No,No,Italy,Beauty,"1,072.49",127.18,"1,830,610","156,130",10.0,2,2017
124,125,Privitar,Yes,No,UK,Technology,"1,068.59",126.93,"9,923,965","855,321",190.0,47,2014
125,126,Delineate,No,No,UK,Technology,"1,065.09",126.7,"3,332,661","288,095",25.0,1,2015
126,127,Spyrosoft,Yes,No,Poland,Technology,"1,061.67",126.48,"24,721,755","2,326,082",563.0,75,2016
127,128,Bio Energy Solutions,No,No,Slovakia,Waste management & recycling,"1,057.21",126.19,"16,006,537","1,383,205",37.0,6,2014
128,129,Increso,No,No,Italy,Management Consulting,"1,049.47",125.68,"3,230,000","281,000",51.0,2,2015
129,130,LSG - Logistic & Service Group,No,No,Italy,Transport,"1,041.38",125.15,"8,873,180","777,410",46.0,1,2016
130,131,Energihem,No,No,Sweden,Construction,"1,033.39",124.63,"28,004,684","2,527,006",125.0,19,2015
131,132,Amity,No,No,UK,Technology,"1,019.79",123.72,"5,743,440","522,712",164.0,48,2012
132,133,Goyago,No,No,Germany,Retail,"1,005.08",122.74,"3,729,920","337,525",43.0,4,2014
133,134,LA REGIE DE PORTAGE SALARIAL,No,No,France,Support Services,"1,003.16",122.61,"7,638,731","692,440",140.0,23,2016
134,135,Dall Energy,Yes,Yes,Denmark,Energy,991.29,121.81,"6,013,000","551,000",15.0,5,2007
135,136,Appinio,No,No,Germany,Technology,988.35,121.61,"3,597,000","330,500",44.0,5,2014
136,137,Pinsami,No,No,Italy,Food & Beverage,975.16,120.71,"4,892,000","455,000",33.0,14,2015
137,138,AER TRADING,No,No,France,Retail,969.96,120.35,"17,575,388","1,643,572",1.0,1,2013
138,139,VALUMEN,No,No,France,Support Services,968.54,120.26,"2,196,424","205,554",4.0,1,2014
139,140,Follow,No,No,France,Advertising,964.02,119.95,"6,844,818","643,299",14.0,4,2016
140,141,Darpdecade,No,No,Germany,Retail,954.24,119.27,"6,624,660","628,384",173.0,4,2016
141,142,Bolt,Yes,Yes,Estonia,Technology,949.32,118.93,"221,393,889","21,098,843",1798.0,399,2013
142,143,Kiteworldshop.com,No,No,Italy,Ecommerce,941.48,118.38,"1,671,984","160,539",5.0,2,2014
143,144,Peter Kenkel,No,Yes,Germany,Retail,938.81,118.2,"22,137,000","2,131,000",19.0,10,2006
144,145,Templafy,Yes,No,Denmark,Technology,937.64,118.11,"15,486,451","1,521,010",292.0,32,2014
145,146,Comservice,No,No,Italy,Support Services,935.17,117.94,"2,016,300","194,780",99.0,17,2014
146,147,Falcor Presse,No,No,Italy,Industrial Goods,927.28,117.38,"2,996,770","291,720",5.0,1,2017
147,148,RoomRaccoon,No,No,The Netherlands,Technology,927.15,117.38,"1,715,334","167,000",40.0,8,2017
148,149,Signaturit,Yes,Yes,Spain,Technology,921.07,116.95,"5,639,953","552,355",95.0,37,2013
149,150,Modulr,No,No,UK,Fintech,914.74,116.5,"12,789,098","1,269,382",191.0,31,2015
150,151,PROFISHOP,No,No,Germany,Ecommerce,909.37,116.11,"43,812,068","4,340,517",63.0,17,2012
151,152,Floer,No,No,The Netherlands,Interiors,908.11,116.02,"2,520,013","249,975",15.0,2,2015
152,153,Audiosalus,No,No,Italy,Retail,904.15,115.74,"1,569,480","156,300",12.0,4,2011
153,154,StatsBomb,No,No,UK,Technology,897.81,115.29,"2,027,170","204,620",26.0,2,2016
154,155,Theras Biocare,Yes,No,Italy,Pharmaceuticals,888.84,114.64,"26,633,230","2,693,390",8.0,2,2013
155,156,Stenn,No,No,UK,Fintech,886.94,114.5,"29,615,571","3,058,141",61.0,32,2016
156,157,Nanushka,Yes,Yes,Hungary,Fashion,884.55,114.33,"20,825,934","2,456,563",180.0,30,2012
157,158,DPM - Deutsches Personal Management,Yes,No,Germany,Support Services,882.56,114.18,"2,267,760","230,800",60.0,10,2016
158,159,Monese,No,No,UK,Fintech,880.00,114.0,"18,196,451","1,870,109",243.0,84,2013
159,160,Arquimea,Yes,No,Spain,Technology,867.03,113.05,"72,044,361","7,450,099",288.0,40,2005
160,161,Groupe PERSPECTIVE,No,No,France,Education,866.15,112.98,"2,709,000","280,390",18.0,4,2013
161,162,Funnel,Yes,No,Sweden,Technology,866.06,112.98,"11,499,031","1,217,338",155.0,37,2014
162,163,Living Quarter,No,No,Germany,Health,847.68,111.62,"5,016,731","529,371",49.0,5,2015
163,164,Svea Solar,No,No,Sweden,Energy,842.47,111.23,"66,146,911","7,177,912",287.0,38,2013
164,165,Bevcraft Group,No,No,Ireland,Food & Beverage,842.21,111.21,"4,046,859","429,505",16.0,6,2016
165,166,Learning Technologies Group,Yes,No,UK,Technology,834.19,110.61,"19,446,429","2,096,570",932.0,767,2013
166,167,Cura Farma,No,No,Italy,Health,825.58,109.96,"4,436,220","479,290",9.0,2,2014
167,168,Kamado Bono,No,No,Lithuania,Personal & Household Goods,824.45,109.88,"6,801,734","735,758",7.0,2,2013
168,169,SIPADAN,No,No,Spain,Management Consulting,823.89,109.83,"3,457,203","374,200",47.0,3,2007
169,170,Dateio,No,No,Czech Republic,Fintech,812.34,108.95,"4,710,733","530,785",45.0,18,2013
170,171,CREST Investment,Yes,No,Germany,Property,811.16,108.86,"4,857,817","533,144",16.0,4,2016
171,172,Componenti Digitali,No,No,Italy,Retail,808.60,108.67,"2,805,850","308,810",19.0,2,2017
172,173,IMMO-KONZEPTE,No,No,Germany,Property,797.40,107.81,"2,269,276","252,871",6.0,3,2006
173,174,SwipBox,No,No,Denmark,Technology,792.08,107.4,"9,391,760","1,052,796",41.0,3,2014
174,175,Nextory,No,No,Sweden,Media,790.71,107.29,"26,534,087","3,046,667",85.0,9,2015
175,176,ITDS Polska,Yes,No,Poland,Technology,789.96,107.23,"8,609,941","1,057,443",176.0,32,2016
176,177,Savait,No,No,Italy,Ecommerce,787.93,107.07,"2,108,040","237,410",5.0,4,2015
177,178,Adpone,Yes,No,Spain,Advertising,786.15,106.94,"11,124,512","1,255,372",18.0,3,2015
178,179,Nord Security,No,No,Lithuania,Cyber Security,785.05,106.85,"156,623,915","18,035,029",1000.0,350,2012
179,180,Mews,Yes,No,The Netherlands,Technology,784.47,106.81,"22,386,000","2,531,000",226.0,25,2012
180,181,Titulae,No,No,Spain,Education,783.80,106.75,"4,870,863","551,128",35.0,9,2015
181,182,systeme.io,No,No,Ireland,Ecommerce,780.26,106.48,"2,407,982","273,552",40.0,5,2016
182,183,EODH SA,No,No,Greece,Aerospace & Defence,765.91,105.35,"2,597,612","299,988",30.0,20,2003
183,184,Multix solutions,Yes,No,Italy,Health,764.38,105.23,"11,586,460","1,340,430",5.0,2,2015
184,185,B2DIGIT,No,No,France,Technology,763.88,105.19,"1,978,128","228,982",12.0,2,2016
185,186,A Million Ads,No,No,UK,Advertising,761.93,105.03,"4,882,837","570,564",47.0,5,2015
186,187,WoodWatch,Yes,No,The Netherlands,Retail,758.51,104.76,"5,590,390","651,170",25.0,5,2013
187,188,Fenêtres du Doubs,No,No,France,Construction,753.42,104.36,"2,238,347","262,280",12.0,3,2010
188,189,Koesea,No,No,Germany,Construction,750.00,104.08,"3,400,000","400,000",65.0,3,2016
189,190,Podium Advanced Technologies,Yes,Yes,Italy,Automobiles,744.97,103.68,"18,025,740","2,133,310",38.0,14,2011
190,191,SPEGRA,No,No,Croatia,Construction,744.07,103.61,"17,059,791","2,025,879",166.0,109,2010
191,192,GPAINNOVA,Yes,Yes,Spain,Industrial Goods,739.66,103.25,"15,245,617","1,815,680",117.0,18,2013
192,193,Soluzione Tasse,No,No,Italy,Management Consulting,736.20,102.97,"18,939,430","2,264,940",23.0,4,2016
193,194,Velocultour,No,No,Germany,Retail,731.33,102.58,"2,458,500","295,731",15.0,2,2016
194,195,butorpiac.hu,No,No,Hungary,Ecommerce,731.00,102.55,"2,184,336","305,268",7.0,2,2011
195,196,Success Solutions,No,No,Czech Republic,Technology,727.39,102.26,"2,633,664","327,218",44.0,8,2016
196,197,Bug Bite Thing Europe,No,No,Denmark,Health,722.29,101.84,"1,577,878","191,679",1.0,1,1989
197,198,Dexatel,Yes,Yes,Estonia,Technology,721.49,101.78,"11,087,980","1,349,733",24.0,4,2015
198,199,Gemco,No,No,Italy,Construction,718.65,101.54,"3,941,900","481,510",6.0,1,2015
199,200,Lyonnaise de Construction et Renovation,No,No,France,Construction,717.46,101.44,"6,640,842","812,371",,,2015
200,201,Gousto,Yes,Yes,UK,Food & Beverage,713.62,101.13,"210,945,370","26,112,757",702.0,204,2012
201,202,Winter in Venice,No,No,UK,Beauty,710.72,100.89,"12,682,062","1,575,522",6.0,4,2010
202,203,Infratech Bau,Yes,Yes,Germany,Construction,710.04,100.83,"60,067,088","7,415,334",72.0,18,2007
203,204,4Streets Building Innovation Tunnels Bridges Roads,No,No,Italy,Construction,708.86,100.74,"6,739,630","833,230",46.0,3,2016
204,205,Landbay,Yes,Yes,UK,Fintech,708.18,100.68,"8,980,496","1,119,178",95.0,31,2013
205,206,Degoo,No,No,Sweden,Technology,708.03,100.67,"1,973,775","249,818",18.0,3,2012
206,207,Franco Fresco,Yes,Yes,Germany,Food & Beverage,707.67,100.64,"50,723,858","6,280,267",320.0,52,2016
207,208,Lendable,No,No,UK,Fintech,707.63,100.63,"40,305,193","5,026,349",84.0,25,2014
208,209,Ulrich Müller Wealth Academy,No,No,Germany,Education,698.59,99.88,"3,516,744","440,369",6.0,2,2014
209,210,cerascreen,Yes,Yes,Germany,Health,698.46,99.87,"10,499,782","1,315,000",84.0,19,2012
210,211,Eqinov,Yes,No,France,Energy,696.48,99.71,"70,183,744","8,811,708",43.0,24,2011
211,212,Serre Famiglia Pederiva Viticoltori dal 1958,No,No,Italy,Food & Beverage,695.08,99.59,"9,022,020","1,134,730",12.0,7,1996
212,213,Bloom & Wild,No,No,UK,Ecommerce,693.19,99.43,"155,595,726","19,757,296",170.0,68,2013
213,214,Bräutigam,No,No,Germany,Automobiles,693.15,99.43,"6,315,124","796,207",29.0,9,2016
214,215,Newil & Bau,Yes,No,Finland,Construction,693.05,99.42,"19,420,672","2,448,858",7.0,1,2006
215,216,ID Finance,Yes,Yes,Spain,Fintech,687.67,98.97,"103,634,000","13,157,000",411.0,271,2015
216,217,Kry,No,No,Sweden,Health,683.39,98.61,"77,764,611","10,152,222",600.0,74,2014
217,218,Sixth Sense,Yes,No,Italy,Technology,682.63,98.54,"3,916,570","500,440",25.0,4,2015
218,219,Nethive,Yes,No,Italy,Cyber Security,681.63,98.46,"3,960,770","506,730",19.0,7,2014
219,220,Latitude Investment Management,No,No,UK,Financial Services,680.23,98.34,"1,750,466","225,964",8.0,3,2016
220,221,Qred,Yes,Yes,Sweden,Fintech,679.70,98.29,"30,414,122","3,989,355",68.0,10,2015
221,222,oculavis,No,No,Germany,Technology,678.11,98.16,"3,924,472","504,357",55.0,15,2016
222,223,The Information Lab,No,No,Italy,Technology,675.86,97.97,"4,253,110","548,180",30.0,5,2015
223,224,MD Sonnenschutztechnik,No,No,Germany,Construction,675.34,97.92,"4,068,621","524,750",10.0,6,2015
224,225,Syntio,No,No,Croatia,Technology,673.74,97.79,"2,127,532","274,966",43.0,7,2017
225,226,Bomae,No,No,Denmark,Financial Services,673.44,97.76,"1,662,487","214,713",13.0,3,2016
226,227,Gophr,No,No,UK,Technology,665.31,97.07,"5,738,336","755,191",18.0,6,2014
227,228,Memory PC,Yes,No,Germany,Retail,662.76,96.85,"57,375,000","7,522,000",110.0,20,2012
228,229,Sollis Solargroßhandel,No,No,Germany,Retail,661.92,96.77,"11,860,100","1,556,607",6.0,2,2017
229,230,Spotawheel,Yes,No,Greece,Automobiles,660.16,96.62,"15,646,588","2,058,315",123.0,37,2015
230,231,Ooni Pizza Ovens,Yes,Yes,UK,Personal & Household Goods,656.17,96.28,"63,879,414","8,508,398",83.0,18,2012
231,232,Robovox Distributions,No,No,Germany,Retail,655.91,96.26,"19,427,000","2,570,000",35.0,10,2015
232,233,CentralNic Group,No,No,UK,Technology,655.01,96.18,"197,260,279","26,626,422",650.0,92,2000
233,234,Bernd Andert Transporte,No,No,Germany,Transport,651.57,95.88,"4,105,262","546,226",83.0,16,2003
234,235,Bluewater Bio,No,No,UK,Technology,651.07,95.84,"20,201,424","2,708,983",18.0,16,2007
235,236,Tecma Solutions,Yes,Yes,Italy,Technology,650.65,95.8,"7,319,870","975,140",107.0,25,2012
236,237,Delante,Yes,No,Poland,Sales & Marketing,645.92,95.39,"2,160,094","316,525",48.0,21,2015
237,238,intumind,Yes,No,Germany,Health,641.45,95.0,"6,560,962","884,885",15.0,8,2015
238,239,Saljol,No,No,Germany,Health,640.72,94.93,"4,146,403","559,778",15.0,10,2016
239,240,TKD Solutions,No,No,Germany,Telecoms,639.39,94.82,"15,874,245","2,146,950",20.0,9,2014
240,241,Kuori,No,No,Finland,Technology,635.85,94.5,"2,501,902","340,000",15.0,5,2016
241,242,Ferroamp,Yes,No,Sweden,Energy,635.77,94.5,"7,645,003","1,062,649",42.0,21,2010
242,243,Valor Real Estate Partners,No,No,UK,Financial Services,634.70,94.4,"4,534,588","621,636",23.0,6,2016
243,244,Anexiti,No,No,France,Technology,633.03,94.26,"2,565,735","350,019",14.0,2,2013
244,245,GENIUS,No,No,France,Support Services,631.54,94.12,"2,417,902","330,522",23.0,6,2017
245,246,Instilla,Yes,No,Italy,Advertising,629.15,93.91,"2,993,310","410,520",31.0,3,2015
246,247,FOOTDISTRICT,Yes,Yes,Spain,Ecommerce,628.49,93.85,"14,942,262","2,051,133",60.0,12,2012
247,248,Spiideo,Yes,No,Sweden,Technology,627.38,93.76,"4,799,358","674,805",36.0,12,2012
248,249,ContractPodAi,No,No,UK,Technology,626.96,93.72,"4,875,622","670,685",118.0,14,2012
249,250,Tarhan Bauausführungen,No,No,Germany,Construction,625.88,93.62,"1,851,000","255,000",15.0,5,2017
250,251,Matillion,No,No,UK,Technology,624.36,93.49,"24,580,709","3,417,815",218.0,44,2010
251,252,Extra Mile Live Service,No,No,Germany,Retail,623.62,93.42,"2,637,501","364,485",5.0,2,2017
