Unnamed: 0,Name,Symbol,MarketCap,Price,Country,name,codice,pricecap,price,country
5212.0,National Energy Services Reunited,NESR,$0.57 B,$6.34,USA,National Energy Services Reunited,NESR,$0.69 B,$7.64,USA
5213.0,JSW Holdings,JSWHL.NS,$0.57 B,$52.26,India,JSW Holdings,JSWHL.NS,$0.58 B,$52.68,India
5214.0,Hartalega,5168.KL,$0.57 B,$0.35,Malaysia,Hartalega,5168.KL,$0.60 B,$0.37,Malaysia
5215.0,Aurelius Group,AR4.DE,$0.57 B,$20.22,Germany,Aurelius Group,AR4.DE,$0.63 B,$22.31,Germany
5216.0,Hikal,HIKAL.NS,$0.57 B,$4.67,India,Hikal,HIKAL.NS,$0.61 B,$4.94,India
5217.0,Microvast,MVST,$0.57 B,$1.86,USA,Microvast,MVST,$0.54 B,$1.76,USA
5218.0,Domo,DOMO,$0.57 B,$16.61,USA,Domo,DOMO,$0.49 B,$14.21,USA
5219.0,Amyris,AMRS,$0.57 B,$1.76,USA,Amyris,AMRS,$0.58 B,$1.60,USA
5220.0,Suprajit Engineering,SUPRAJIT.NS,$0.57 B,$4.13,India,Suprajit Engineering,SUPRAJIT.NS,$0.56 B,$4.10,India
5221.0,Obsidian Energy,OBE,$0.57 B,$6.94,Canada,Obsidian Energy,OBE,$0.53 B,$6.43,Canada
5222.0,Redfin,RDFN,$0.57 B,$5.25,USA,Redfin,RDFN,$0.66 B,$6.15,USA
5223.0,ACM Research,ACMR,$0.56 B,$9.58,USA,ACM Research,ACMR,$0.64 B,$10.82,USA
5224.0,MaxCyte,MXCT,$0.56 B,$5.58,USA,MaxCyte,MXCT,$0.56 B,$5.49,USA
5225.0,SIGA Technologies,SIGA,$0.56 B,$7.78,USA,SIGA Technologies,SIGA,$0.61 B,$8.42,USA
5226.0,Exscientia,EXAI,$0.56 B,$4.62,UK,Exscientia,EXAI,$0.86 B,$7.05,UK
5227.0,1-800-Flowers,FLWS,$0.56 B,$8.78,USA,1-800-Flowers,FLWS,$0.67 B,$10.43,USA
5228.0,Shenzhen Bingchuan Network,300533.SZ,$0.56 B,$3.72,China,Shenzhen Bingchuan Network,300533.SZ,$0.62 B,$4.08,China
5229.0,FDC India,FDC.NS,$0.56 B,$3.42,India,FDC India,FDC.NS,$0.54 B,$3.30,India
5230.0,Electrica,ECEA.F,$0.56 B,$6.39,mania,Electrica,ECEA.F,$0.62 B,$7.06,Romania
5231.0,HBT Financial,HBT,$0.56 B,$19.70,USA,HBT Financial,HBT,$0.58 B,$20.21,USA
5232.0,Sangamo Therapeutics,SGMO,$0.56 B,$3.45,USA,Sangamo Therapeutics,SGMO,$0.59 B,$3.64,USA
5233.0,Gorilla Technology,GRRR,$0.56 B,$7.75,Taiwan,Gorilla Technology,GRRR,$0.59 B,$8.10,Taiwan
5234.0,Arrow Financial,AROW,$0.56 B,$34.19,USA,Arrow Financial,AROW,$0.55 B,$33.73,USA
5235.0,Gaotu Techedu,GOTU,$0.56 B,$2.18,China,Gaotu Techedu,GOTU,$0.98 B,$3.81,China
5236.0,Rayonier Advanced Materials,RYAM,$0.56 B,$8.82,USA,Rayonier Advanced Materials,RYAM,$0.42 B,$6.71,USA
5237.0,AudioCodes,AUDC,$0.56 B,$17.75,Israel,AudioCodes,AUDC,$0.59 B,$18.60,Israel
5238.0,Olectra Greentech,OLECTRA.NS,$0.56 B,$6.87,India,Olectra Greentech,OLECTRA.NS,$0.49 B,$6.04,India
5239.0,Phillips Carbon Black,PHILIPCARB.NS,$0.56 B,$3.24,India,Phillips Carbon Black,PHILIPCARB.NS,$0.56 B,$3.24,India
5240.0,Heidelbergcement India,HEIDELBERG.NS,$0.56 B,$2.48,India,Heidelbergcement India,HEIDELBERG.NS,$0.51 B,$2.29,India
5241.0,Vera Therapeutics,VERA,$0.56 B,$20.28,USA,Vera Therapeutics,VERA,$0.18 B,$6.74,USA
5242.0,Janux Therapeutics,JANX,$0.56 B,$13.50,USA,Janux Therapeutics,JANX,$0.85 B,$20.57,USA
5243.0,Materialise NV,MTLS,$0.56 B,$9.52,Belgium,Materialise NV,MTLS,$0.56 B,$9.51,Belgium
5244.0,CMGE Technology Group,0302.HK,$0.55 B,$0.20,China,CMGE Technology Group,0302.HK,$0.71 B,$0.26,China
5245.0,Sundial Growers,SNDL,$0.55 B,$2.37,Canada,Sundial Growers,SNDL,$0.53 B,$2.27,Canada
5246.0,Genesco,GCO,$0.55 B,$44.33,USA,Genesco,GCO,$0.60 B,$47.92,USA
5247.0,Chuy's,CHUY,$0.55 B,$30.99,USA,Chuy's,CHUY,$0.58 B,$32.67,USA
5248.0,Morphosys,MOR,$0.55 B,$4.08,Germany,Morphosys,MOR,$0.62 B,$4.57,Germany
5249.0,Tunas Ridean,TURI.JK,$0.55 B,$0.10,Indonesia,Tunas Ridean,TURI.JK,$0.57 B,$0.10,Indonesia
5250.0,System1,SST,$0.55 B,$4.90,USA,System1,SST,$0.55 B,$4.92,USA
5251.0,VIB Vermögen,VIH1.F,$0.55 B,$20.01,Germany,VIB Vermögen,VIH1.F,$0.69 B,$25.03,Germany
5252.0,Diamond Hill Investment Group,DHIL,$0.55 B,$184.30,USA,Diamond Hill Investment Group,DHIL,$0.56 B,$186.50,USA
5253.0,Senseonics Holdings,SENS,$0.55 B,$1.16,USA,Senseonics Holdings,SENS,$0.54 B,$1.13,USA
5254.0,CSB Bank,CSBBANK.NS,$0.55 B,$3.19,India,CSB Bank,CSBBANK.NS,$0.53 B,$3.08,India
5255.0,MetroCity Bankshares,MCBS,$0.55 B,$21.89,USA,MetroCity Bankshares,MCBS,$0.53 B,$21.24,USA
5256.0,loanDepot,LDI,$0.55 B,$1.68,USA,loanDepot,LDI,$0.74 B,$2.26,USA
5257.0,First Financial,THFF,$0.55 B,$46.06,USA,First Financial,THFF,$0.55 B,$46.03,USA
5258.0,Engineers India,ENGINERSIN.NS,$0.55 B,$0.99,India,Engineers India,ENGINERSIN.NS,$0.58 B,$1.04,India
5259.0,Vinci Partners,VINP,$0.55 B,$9.73,Brazil,Vinci Partners,VINP,$0.55 B,$9.73,Brazil
5260.0,Marathon Digital Holdings,MARA,$0.55 B,$4.72,USA,Marathon Digital Holdings,MARA,$0.89 B,$7.68,USA
5261.0,Vishay Precision Group,VPG,$0.55 B,$40.61,USA,Vishay Precision Group,VPG,$0.56 B,$41.96,USA
5262.0,Equity BancShares,EQBK,$0.55 B,$34.57,USA,Equity BancShares,EQBK,$0.52 B,$33.12,USA
5263.0,ZeroFox,ZFOX,$0.55 B,$4.66,USA,ZeroFox,ZFOX,$0.59 B,$5.00,USA
5264.0,Iguatemi,IGTI3.SA,$0.54 B,$0.45,Brazil,Iguatemi,IGTI3.SA,$0.61 B,$0.50,Brazil
5265.0,Zynex,ZYXI,$0.54 B,$14.28,USA,Zynex,ZYXI,$0.64 B,$16.80,USA
5266.0,Poseida Therapeutics,PSTX,$0.54 B,$6.38,USA,Poseida Therapeutics,PSTX,$0.60 B,$7.04,USA
5267.0,Tremor International,TRMR,$0.54 B,$7.20,Israel,Tremor International,TRMR,$0.52 B,$7.33,Israel
5268.0,Transcat,TRNS,$0.54 B,$72.48,USA,Transcat,TRNS,$0.61 B,$81.79,USA
5269.0,Kirloskar Ferrous Industries,KIRLFER.NS,$0.54 B,$3.94,India,Kirloskar Ferrous Industries,KIRLFER.NS,$0.59 B,$4.32,India
